DATA,SEMESTRE_1,SEMESTRE_2,SEGUNDA,TERCA,QUARTA,QUINTA,SEXTA,DISTANCIA_DIA_ANTERIOR,DISTANCIA_DIA_POSTERIOR,PERC_CONCLUSAO_SEM,PERC_CONCLUSAO_MES,PRESSAO_ATMOSFERICA,TEMPERATURA,UMIDADE,VENTO,VENDAS_ALMOCO,VENDAS_ALMOCO_1,VENDAS_ALMOCO_2,VENDAS_ALMOCO_3,VENDAS_ALMOCO_4,VENDAS_ALMOCO_5,ENTR_ALMOCO,ENTR_ALMOCO_1,ENTR_ALMOCO_2,ENTR_ALMOCO_3,ENTR_ALMOCO_4,ENTR_ALMOCO_5,ENTR_JANTAR,ENTR_JANTAR_1,ENTR_JANTAR_2,ENTR_JANTAR_3,ENTR_JANTAR_4,ENTR_JANTAR_5
2017-12-04,1,0,0,0,1,0,0,1,1,35.97,40.0,950.7,22.0,84,0.9,14,14,14,14,14,14,14,14,14,14,14,14,0,0,0,0,0,0
2017-04-13,1,0,0,0,0,1,0,1,4,36.69,43.33,953.3,21.0,75,2.2,22,14,14,14,14,14,22,14,14,14,14,14,0,0,0,0,0,0
2017-04-17,1,0,1,0,0,0,0,4,1,39.57,56.67,950.4,22.3,79,0.3,10,22,14,14,14,14,10,22,14,14,14,14,0,0,0,0,0,0
2017-04-18,1,0,0,1,0,0,0,1,1,40.29,60.0,953.9,19.3,77,1.2,27,10,22,14,14,14,26,10,22,14,14,14,0,0,0,0,0,0
2017-04-19,1,0,0,0,1,0,0,1,1,41.01,63.33,954.5,18.4,75,2.1,18,27,10,22,14,14,17,26,10,22,14,14,0,0,0,0,0,0
2017-04-20,1,0,0,0,0,1,0,1,4,41.73,66.67,951.7,20.5,73,4.9,14,18,27,10,22,14,14,17,26,10,22,14,0,0,0,0,0,0
2017-04-24,1,0,1,0,0,0,0,4,1,44.6,80.0,954.3,19.9,71,3.3,10,14,18,27,10,22,10,14,17,26,10,22,0,0,0,0,0,0
2017-04-25,1,0,0,1,0,0,0,1,1,45.32,83.33,950.5,20.1,80,3.4,26,10,14,18,27,10,26,10,14,17,26,10,0,0,0,0,0,0
2017-04-26,1,0,0,0,1,0,0,1,1,46.04,86.67,946.4,24.1,70,2.0,17,26,10,14,18,27,17,26,10,14,17,26,0,0,0,0,0,0
2017-04-27,1,0,0,0,0,1,0,1,5,46.76,90.0,950.9,20.1,87,3.6,15,17,26,10,14,18,15,17,26,10,14,17,0,0,0,0,0,0
2017-02-05,1,0,0,1,0,0,0,5,1,50.36,6.45,954.8,18.4,79,1.7,15,15,17,26,10,14,15,15,17,26,10,14,0,0,0,0,0,0
2017-03-05,1,0,0,0,1,0,0,1,1,51.08,9.68,956.0,17.5,83,1.0,9,15,15,17,26,10,9,15,15,17,26,10,0,0,0,0,0,0
2017-04-05,1,0,0,0,0,1,0,1,1,51.8,12.9,953.4,19.0,81,1.8,41,9,15,15,17,26,41,9,15,15,17,26,0,0,0,0,0,0
2017-05-05,1,0,0,0,0,0,1,1,3,52.52,16.13,953.2,18.1,94,0.8,84,41,9,15,15,17,84,41,9,15,15,17,134,0,0,0,0,0
2017-08-05,1,0,1,0,0,0,0,3,1,54.68,25.81,950.6,17.7,84,0.7,14,84,41,9,15,15,14,84,41,9,15,15,0,134,0,0,0,0
2017-09-05,1,0,0,1,0,0,0,1,1,55.4,29.03,949.8,20.0,79,2.8,23,14,84,41,9,15,23,14,84,41,9,15,0,0,134,0,0,0
2017-10-05,1,0,0,0,1,0,0,1,1,56.12,32.26,953.5,19.0,79,1.2,162,23,14,84,41,9,162,23,14,84,41,9,0,0,0,134,0,0
2017-11-05,1,0,0,0,0,1,0,1,1,56.83,35.48,953.8,19.9,74,1.2,28,162,23,14,84,41,28,162,23,14,84,41,0,0,0,0,134,0
2017-12-05,1,0,0,0,0,0,1,1,3,57.55,38.71,954.4,18.8,68,3.2,28,28,162,23,14,84,27,28,162,23,14,84,0,0,0,0,0,134
2017-05-15,1,0,1,0,0,0,0,3,1,59.71,48.39,949.9,18.8,75,1.8,171,28,28,162,23,14,23,27,28,162,23,14,0,0,0,0,0,0
2017-05-16,1,0,0,1,0,0,0,1,1,60.43,51.61,952.1,17.2,79,1.3,467,171,28,28,162,23,21,23,27,28,162,23,0,0,0,0,0,0
2017-05-17,1,0,0,0,1,0,0,1,1,61.15,54.84,953.2,17.8,76,3.7,368,467,171,28,28,162,351,21,23,27,28,162,0,0,0,0,0,0
2017-05-18,1,0,0,0,0,1,0,1,1,61.87,58.06,952.7,18.7,78,4.0,47,368,467,171,28,28,35,351,21,23,27,28,0,0,0,0,0,0
2017-05-19,1,0,0,0,0,0,1,1,3,62.59,61.29,947.1,16.4,93,3.6,402,47,368,467,171,28,162,35,351,21,23,27,88,0,0,0,0,0
2017-05-22,1,0,1,0,0,0,0,3,1,64.75,70.97,951.2,20.3,89,1.8,798,402,47,368,467,171,363,162,35,351,21,23,0,88,0,0,0,0
2017-05-23,1,0,0,1,0,0,0,1,1,65.47,74.19,955.0,17.9,77,1.7,14,798,402,47,368,467,20,363,162,35,351,21,0,0,88,0,0,0
2017-05-24,1,0,0,0,1,0,0,1,1,66.19,77.42,955.0,17.4,87,1.0,29,14,798,402,47,368,42,20,363,162,35,351,39,0,0,88,0,0
2017-05-25,1,0,0,0,0,1,0,1,1,66.91,80.65,954.8,19.4,83,3.5,17,29,14,798,402,47,117,42,20,363,162,35,71,39,0,0,88,0
2017-05-26,1,0,0,0,0,0,1,1,3,67.63,83.87,953.5,18.7,90,2.4,92,17,29,14,798,402,141,117,42,20,363,162,45,71,39,0,0,88
2017-05-29,1,0,1,0,0,0,0,3,1,69.78,93.55,954.7,18.9,85,0.6,40,92,17,29,14,798,16,141,117,42,20,363,0,45,71,39,0,0
2017-05-30,1,0,0,1,0,0,0,1,1,70.5,96.77,954.2,18.5,84,0.5,19,40,92,17,29,14,27,16,141,117,42,20,0,0,45,71,39,0
2017-05-31,1,0,0,0,1,0,0,1,1,71.22,100.0,951.6,19.7,77,5.4,22,19,40,92,17,29,17,27,16,141,117,42,0,0,0,45,71,39
2017-01-06,1,0,0,0,0,1,0,1,1,71.94,3.33,949.2,18.7,77,0.9,17,22,19,40,92,17,12,17,27,16,141,117,0,0,0,0,45,71
2017-02-06,1,0,0,0,0,0,1,1,3,72.66,6.67,953.1,17.4,68,5.5,15,17,22,19,40,92,17,12,17,27,16,141,0,0,0,0,0,45
2017-05-06,1,0,1,0,0,0,0,3,1,74.82,16.67,951.6,19.5,84,1.6,618,15,17,22,19,40,431,17,12,17,27,16,188,0,0,0,0,0
2017-06-06,1,0,0,1,0,0,0,1,1,75.54,20.0,951.7,18.8,93,1.3,570,618,15,17,22,19,442,431,17,12,17,27,222,188,0,0,0,0
2017-07-06,1,0,0,0,1,0,0,1,1,76.26,23.33,951.6,19.4,92,1.2,642,570,618,15,17,22,393,442,431,17,12,17,233,222,188,0,0,0
2017-08-06,1,0,0,0,0,1,0,1,1,76.98,26.67,949.1,20.2,83,0.7,662,642,570,618,15,17,408,393,442,431,17,12,171,233,222,188,0,0
2017-09-06,1,0,0,0,0,0,1,1,3,77.7,30.0,949.1,19.7,87,1.0,400,662,642,570,618,15,286,408,393,442,431,17,129,171,233,222,188,0
2017-12-06,1,0,1,0,0,0,0,3,1,79.86,40.0,952.9,16.5,84,1.4,947,400,662,642,570,618,403,286,408,393,442,431,208,129,171,233,222,188
2017-06-13,1,0,0,1,0,0,0,1,1,80.58,43.33,954.7,15.5,94,3.9,600,947,400,662,642,570,449,403,286,408,393,442,196,208,129,171,233,222
2017-06-14,1,0,0,0,1,0,0,1,5,81.29,46.67,956.1,18.3,87,1.3,405,600,947,400,662,642,376,449,403,286,408,393,165,196,208,129,171,233
2017-06-19,1,0,1,0,0,0,0,5,1,84.89,63.33,952.6,17.3,76,1.6,1046,405,600,947,400,662,433,376,449,403,286,408,204,165,196,208,129,171
2017-06-20,1,0,0,1,0,0,0,1,1,85.61,66.67,956.1,17.1,87,1.1,616,1046,405,600,947,400,453,433,376,449,403,286,188,204,165,196,208,129
2017-06-21,1,0,0,0,1,0,0,1,1,86.33,70.0,959.4,19.1,72,0.9,527,616,1046,405,600,947,428,453,433,376,449,403,212,188,204,165,196,208
2017-06-22,1,0,0,0,0,1,0,1,1,87.05,73.33,958.9,17.9,80,0.8,351,527,616,1046,405,600,352,428,453,433,376,449,196,212,188,204,165,196
2017-06-23,1,0,0,0,0,0,1,1,3,87.77,76.67,959.3,18.0,77,1.1,314,351,527,616,1046,405,321,352,428,453,433,376,106,196,212,188,204,165
2017-06-26,1,0,1,0,0,0,0,3,1,89.93,86.67,959.2,14.7,82,0.9,691,314,351,527,616,1046,382,321,352,428,453,433,151,106,196,212,188,204
2017-06-27,1,0,0,1,0,0,0,1,1,90.65,90.0,957.7,15.0,88,0.5,471,691,314,351,527,616,401,382,321,352,428,453,190,151,106,196,212,188
2017-06-28,1,0,0,0,1,0,0,1,1,91.37,93.33,958.1,16.1,80,0.6,375,471,691,314,351,527,353,401,382,321,352,428,199,190,151,106,196,212
2017-06-29,1,0,0,0,0,1,0,1,1,92.09,96.67,956.9,17.0,83,0.9,273,375,471,691,314,351,308,353,401,382,321,352,139,199,190,151,106,196
2017-06-30,1,0,0,0,0,0,1,1,3,92.81,100.0,956.0,16.0,77,1.6,159,273,375,471,691,314,211,308,353,401,382,321,56,139,199,190,151,106
2017-03-07,1,0,1,0,0,0,0,3,1,94.96,9.68,964.0,14.6,74,0.6,143,159,273,375,471,691,134,211,308,353,401,382,45,56,139,199,190,151
2017-04-07,1,0,0,1,0,0,0,1,1,95.68,12.9,964.0,14.2,72,6.2,161,143,159,273,375,471,138,134,211,308,353,401,57,45,56,139,199,190
2017-05-07,1,0,0,0,1,0,0,1,1,96.4,16.13,963.8,11.9,81,1.3,134,161,143,159,273,375,115,138,134,211,308,353,47,57,45,56,139,199
2017-06-07,1,0,0,0,0,1,0,1,1,97.12,19.35,961.4,14.7,76,0.4,114,134,161,143,159,273,97,115,138,134,211,308,39,47,57,45,56,139
2017-07-07,1,0,0,0,0,0,1,1,3,97.84,22.58,961.7,15.1,77,0.5,31,114,134,161,143,159,45,97,115,138,134,211,4,39,47,57,45,56
2017-10-07,1,0,1,0,0,0,0,3,28,100.0,32.26,959.2,15.8,83,0.7,38,31,114,134,161,143,39,45,97,115,138,134,0,4,39,47,57,45
2017-07-08,0,1,1,0,0,0,0,28,1,0.74,22.58,955.9,15.8,71,6.7,2034,38,31,114,134,161,319,39,45,97,115,138,238,0,4,39,47,57
2017-08-08,0,1,0,1,0,0,0,1,1,1.48,25.81,952.9,18.1,67,1.9,1208,2034,38,31,114,134,503,319,39,45,97,115,313,238,0,4,39,47
2017-09-08,0,1,0,0,1,0,0,1,1,2.22,29.03,949.5,20.3,58,0.7,584,1208,2034,38,31,114,361,503,319,39,45,97,282,313,238,0,4,39
2017-10-08,0,1,0,0,0,1,0,1,1,2.96,32.26,953.4,17.8,72,1.4,518,584,1208,2034,38,31,438,361,503,319,39,45,237,282,313,238,0,4
2017-11-08,0,1,0,0,0,0,1,1,3,3.7,35.48,955.2,17.3,70,1.8,274,518,584,1208,2034,38,245,438,361,503,319,39,118,237,282,313,238,0
2017-08-14,0,1,1,0,0,0,0,3,1,5.93,45.16,951.4,19.6,73,1.4,1013,274,518,584,1208,2034,346,245,438,361,503,319,268,118,237,282,313,238
2017-08-15,0,1,0,1,0,0,0,1,1,6.67,48.39,953.7,15.6,93,1.2,814,1013,274,518,584,1208,523,346,245,438,361,503,315,268,118,237,282,313
2017-08-16,0,1,0,0,1,0,0,1,1,7.41,51.61,952.3,18.4,85,0.7,515,814,1013,274,518,584,388,523,346,245,438,361,270,315,268,118,237,282
2017-08-17,0,1,0,0,0,1,0,1,1,8.15,54.84,953.1,17.2,90,0.9,541,515,814,1013,274,518,446,388,523,346,245,438,256,270,315,268,118,237
2017-08-18,0,1,0,0,0,0,1,1,3,8.89,58.06,952.4,18.0,84,1.1,244,541,515,814,1013,274,253,446,388,523,346,245,107,256,270,315,268,118
2017-08-21,0,1,1,0,0,0,0,3,1,11.11,67.74,959.4,14.6,78,1.0,1051,244,541,515,814,1013,358,253,446,388,523,346,255,107,256,270,315,268
2017-08-22,0,1,0,1,0,0,0,1,1,11.85,70.97,960.3,16.0,74,5.7,656,1051,244,541,515,814,464,358,253,446,388,523,281,255,107,256,270,315
2017-08-23,0,1,0,0,1,0,0,1,1,12.59,74.19,958.2,16.5,76,6.3,532,656,1051,244,541,515,405,464,358,253,446,388,271,281,255,107,256,270
2017-08-24,0,1,0,0,0,1,0,1,1,13.33,77.42,957.8,15.7,84,1.2,431,532,656,1051,244,541,415,405,464,358,253,446,225,271,281,255,107,256
2017-08-25,0,1,0,0,0,0,1,1,3,14.07,80.65,956.7,16.7,75,5.6,257,431,532,656,1051,244,266,415,405,464,358,253,98,225,271,281,255,107
2017-08-28,0,1,1,0,0,0,0,3,1,16.3,90.32,953.9,17.9,66,1.2,987,257,431,532,656,1051,347,266,415,405,464,358,249,98,225,271,281,255
2017-08-29,0,1,0,1,0,0,0,1,1,17.04,93.55,953.7,17.8,79,1.4,756,987,257,431,532,656,491,347,266,415,405,464,288,249,98,225,271,281
2017-08-30,0,1,0,0,1,0,0,1,1,17.78,96.77,952.7,19.6,70,1.2,577,756,987,257,431,532,375,491,347,266,415,405,271,288,249,98,225,271
2017-08-31,0,1,0,0,0,1,0,1,1,18.52,100.0,956.6,20.3,71,2.0,431,577,756,987,257,431,450,375,491,347,266,415,239,271,288,249,98,225
2017-01-09,0,1,0,0,0,0,1,1,3,19.26,3.33,959.9,19.6,70,1.2,267,431,577,756,987,257,224,450,375,491,347,266,85,239,271,288,249,98
2017-04-09,0,1,1,0,0,0,0,3,1,21.48,13.33,956.8,18.9,59,4.3,915,267,431,577,756,987,359,224,450,375,491,347,264,85,239,271,288,249
2017-05-09,0,1,0,1,0,0,0,1,1,22.22,16.67,954.9,20.1,59,1.0,639,915,267,431,577,756,480,359,224,450,375,491,285,264,85,239,271,288
2017-06-09,0,1,0,0,1,0,0,1,5,22.96,20.0,955.2,19.7,52,1.2,422,639,915,267,431,577,347,480,359,224,450,375,171,285,264,85,239,271
2017-11-09,0,1,1,0,0,0,0,5,1,26.67,36.67,954.3,23.7,52,3.8,1311,422,639,915,267,431,377,347,480,359,224,450,254,171,285,264,85,239
2017-12-09,0,1,0,1,0,0,0,1,1,27.41,40.0,955.1,23.8,50,4.6,734,1311,422,639,915,267,477,377,347,480,359,224,271,254,171,285,264,85
2017-09-13,0,1,0,0,1,0,0,1,1,28.15,43.33,955.5,22.7,54,4.3,571,734,1311,422,639,915,386,477,377,347,480,359,274,271,254,171,285,264
2017-09-14,0,1,0,0,0,1,0,1,1,28.89,46.67,954.4,23.8,48,1.2,341,571,734,1311,422,639,449,386,477,377,347,480,195,274,271,254,171,285
2017-09-15,0,1,0,0,0,0,1,1,3,29.63,50.0,955.5,24.4,47,1.7,380,341,571,734,1311,422,232,449,386,477,377,347,92,195,274,271,254,171
2017-09-18,0,1,1,0,0,0,0,3,1,31.85,60.0,955.8,20.8,69,0.9,1354,380,341,571,734,1311,343,232,449,386,477,377,243,92,195,274,271,254
2017-09-19,0,1,0,1,0,0,0,1,1,32.59,63.33,956.4,19.3,77,1.6,536,1354,380,341,571,734,470,343,232,449,386,477,268,243,92,195,274,271
2017-09-20,0,1,0,0,1,0,0,1,1,33.33,66.67,956.1,21.6,66,4.7,259,536,1354,380,341,571,336,470,343,232,449,386,136,268,243,92,195,274
2017-09-21,0,1,0,0,0,1,0,1,1,34.07,70.0,955.9,22.5,56,4.3,296,259,536,1354,380,341,428,336,470,343,232,449,142,136,268,243,92,195
2017-09-22,0,1,0,0,0,0,1,1,3,34.81,73.33,954.5,24.3,46,4.3,213,296,259,536,1354,380,263,428,336,470,343,232,95,142,136,268,243,92
2017-09-25,0,1,1,0,0,0,0,3,1,37.04,83.33,956.0,21.3,66,3.1,793,213,296,259,536,1354,361,263,428,336,470,343,227,95,142,136,268,243
2017-09-26,0,1,0,1,0,0,0,1,1,37.78,86.67,953.3,20.9,61,5.2,592,793,213,296,259,536,472,361,263,428,336,470,272,227,95,142,136,268
2017-09-27,0,1,0,0,1,0,0,1,1,38.52,90.0,950.1,23.2,50,4.0,434,592,793,213,296,259,394,472,361,263,428,336,239,272,227,95,142,136
2017-09-28,0,1,0,0,0,1,0,1,1,39.26,93.33,951.6,24.6,49,1.6,489,434,592,793,213,296,446,394,472,361,263,428,221,239,272,227,95,142
2017-09-29,0,1,0,0,0,0,1,1,3,40.0,96.67,953.0,21.0,69,0.8,221,489,434,592,793,213,255,446,394,472,361,263,77,221,239,272,227,95
2017-02-10,0,1,1,0,0,0,0,3,1,42.22,6.45,942.8,23.5,60,5.5,865,221,489,434,592,793,331,255,446,394,472,361,226,77,221,239,272,227
2017-03-10,0,1,0,1,0,0,0,1,1,42.96,9.68,950.5,19.6,79,2.6,852,865,221,489,434,592,412,331,255,446,394,472,225,226,77,221,239,272
2017-04-10,0,1,0,0,1,0,0,1,1,43.7,12.9,955.3,19.6,73,1.0,449,852,865,221,489,434,370,412,331,255,446,394,215,225,226,77,221,239
2017-05-10,0,1,0,0,0,1,0,1,1,44.44,16.13,952.7,20.9,66,4.1,568,449,852,865,221,489,411,370,412,331,255,446,205,215,225,226,77,221
2017-06-10,0,1,0,0,0,0,1,1,3,45.19,19.35,952.9,25.6,52,4.8,184,568,449,852,865,221,297,411,370,412,331,255,99,205,215,225,226,77
2017-09-10,0,1,1,0,0,0,0,3,1,47.41,29.03,948.3,27.0,48,4.4,524,184,568,449,852,865,319,297,411,370,412,331,230,99,205,215,225,226
2017-10-10,0,1,0,1,0,0,0,1,1,48.15,32.26,948.6,27.6,53,4.7,802,524,184,568,449,852,469,319,297,411,370,412,253,230,99,205,215,225
2017-11-10,0,1,0,0,1,0,0,1,5,48.89,35.48,948.4,25.7,70,1.4,307,802,524,184,568,449,323,469,319,297,411,370,168,253,230,99,205,215
2017-10-16,0,1,1,0,0,0,0,5,1,52.59,51.61,956.4,20.9,68,3.9,921,307,802,524,184,568,335,323,469,319,297,411,220,168,253,230,99,205
2017-10-17,0,1,0,1,0,0,0,1,1,53.33,54.84,956.5,20.4,74,5.5,650,921,307,802,524,184,456,335,323,469,319,297,268,220,168,253,230,99
2017-10-18,0,1,0,0,1,0,0,1,1,54.07,58.06,953.6,24.2,62,5.3,358,650,921,307,802,524,358,456,335,323,469,319,195,268,220,168,253,230
2017-10-19,0,1,0,0,0,1,0,1,1,54.81,61.29,949.4,26.6,39,4.9,335,358,650,921,307,802,391,358,456,335,323,469,160,195,268,220,168,253
2017-10-20,0,1,0,0,0,0,1,1,3,55.56,64.52,950.9,24.1,62,2.8,199,335,358,650,921,307,233,391,358,456,335,323,82,160,195,268,220,168
2017-10-23,0,1,1,0,0,0,0,3,1,57.78,74.19,952.6,19.7,81,3.9,401,199,335,358,650,921,202,233,391,358,456,335,70,82,160,195,268,220
2017-10-24,0,1,0,1,0,0,0,1,1,58.52,77.42,953.6,18.5,79,4.2,241,401,199,335,358,650,227,202,233,391,358,456,56,70,82,160,195,268
2017-10-25,0,1,0,0,1,0,0,1,1,59.26,80.65,951.7,20.3,78,3.9,191,241,401,199,335,358,209,227,202,233,391,358,55,56,70,82,160,195
2017-10-26,0,1,0,0,0,1,0,1,1,60.0,83.87,948.6,19.8,81,1.1,140,191,241,401,199,335,149,209,227,202,233,391,52,55,56,70,82,160
2017-10-27,0,1,0,0,0,0,1,1,3,60.74,87.1,945.5,24.9,66,1.7,67,140,191,241,401,199,95,149,209,227,202,233,16,52,55,56,70,82
2017-10-30,0,1,1,0,0,0,0,3,1,62.96,96.77,944.8,23.2,69,3.9,923,67,140,191,241,401,353,95,149,209,227,202,238,16,52,55,56,70
2017-10-31,0,1,0,1,0,0,0,1,1,63.7,100.0,944.2,22.2,82,5.3,594,923,67,140,191,241,451,353,95,149,209,227,258,238,16,52,55,56
2017-01-11,0,1,0,0,1,0,0,1,5,64.44,3.33,952.2,21.1,55,3.2,278,594,923,67,140,191,306,451,353,95,149,209,175,258,238,16,52,55
2017-06-11,0,1,1,0,0,0,0,5,1,68.15,20.0,951.7,20.3,77,1.4,1010,278,594,923,67,140,320,306,451,353,95,149,229,175,258,238,16,52
2017-07-11,0,1,0,1,0,0,0,1,1,68.89,23.33,951.0,20.2,63,3.0,824,1010,278,594,923,67,463,320,306,451,353,95,263,229,175,258,238,16
2017-08-11,0,1,0,0,1,0,0,1,1,69.63,26.67,949.7,19.1,71,6.1,514,824,1010,278,594,923,352,463,320,306,451,353,234,263,229,175,258,238
2017-09-11,0,1,0,0,0,1,0,1,1,70.37,30.0,949.1,21.6,70,1.3,454,514,824,1010,278,594,367,352,463,320,306,451,200,234,263,229,175,258
2017-10-11,0,1,0,0,0,0,1,1,3,71.11,33.33,945.9,25.0,63,4.2,185,454,514,824,1010,278,220,367,352,463,320,306,85,200,234,263,229,175
2017-11-13,0,1,1,0,0,0,0,3,1,73.33,43.33,947.9,21.3,55,1.7,724,185,454,514,824,1010,306,220,367,352,463,320,202,85,200,234,263,229
2017-11-14,0,1,0,1,0,0,0,1,2,74.07,46.67,950.9,19.6,68,1.5,415,724,185,454,514,824,428,306,220,367,352,463,203,202,85,200,234,263
2017-11-16,0,1,0,0,0,1,0,2,1,75.56,53.33,926.4,27.6,41,2.5,553,415,724,185,454,514,407,428,306,220,367,352,175,203,202,85,200,234
2017-11-17,0,1,0,0,0,0,1,1,3,76.3,56.67,924.5,21.8,70,2.0,176,553,415,724,185,454,218,407,428,306,220,367,55,175,203,202,85,200
2017-11-20,0,1,1,0,0,0,0,3,1,78.52,66.67,924.7,20.7,77,3.9,743,176,553,415,724,185,312,218,407,428,306,220,217,55,175,203,202,85
2017-11-21,0,1,0,1,0,0,0,1,1,79.26,70.0,924.8,21.5,73,1.3,607,743,176,553,415,724,427,312,218,407,428,306,236,217,55,175,203,202
