DATA;VENDAS CAFÉ;VENDAS ALMOÇO;VENDAS JANTAR;VENDAS REFEIÇÃO*;TOTAL VENDAS;ENTR. CAFÉ;ENTR. ALMOÇO;ENTR. JANTAR;TOTAL ENTR. REFEIÇÃO*;TOTAL ENTRADA
(21/12/2018);0;10;0;10;10;0;14;0;14;14
(20/12/2018);0;40;0;40;40;0;35;17;52;52
(19/12/2018);0;58;0;58;58;0;44;14;58;58
(18/12/2018);0;95;6;101;101;0;88;27;115;115
(17/12/2018);0;111;7;118;118;0;77;50;127;127
(14/12/2018);0;50;0;50;50;0;52;21;73;73
(13/12/2018);0;176;0;176;176;0;141;66;207;207
(12/12/2018);0;231;0;231;231;0;189;60;249;249
(11/12/2018);0;299;9;308;308;0;219;122;341;341
(10/12/2018);0;218;4;222;222;0;135;70;205;205
(07/12/2018);0;168;0;168;168;0;163;44;207;207
(06/12/2018);0;371;0;371;371;0;305;128;433;433
(05/12/2018);0;425;4;429;429;0;299;137;436;436
(04/12/2018);0;544;0;544;544;0;365;189;554;554
(03/12/2018);0;528;0;528;528;0;308;155;463;463
(30/11/2018);0;284;6;290;290;0;261;68;329;329
(29/11/2018);0;501;0;501;501;0;339;200;539;539
(28/11/2018);0;529;2;531;531;0;371;196;567;567
(27/11/2018);0;660;3;663;663;0;458;281;739;739
(26/11/2018);0;620;0;620;620;0;260;197;457;457
(23/11/2018);0;216;0;216;216;0;191;49;240;240
(22/11/2018);0;517;0;517;517;0;389;204;593;593
(21/11/2018);0;519;0;519;519;0;378;184;562;562
(20/11/2018);0;353;217;570;570;0;294;217;511;511
(19/11/2018);0;468;2;470;470;0;246;171;417;417
(14/11/2018);0;305;1;306;306;0;282;111;393;393
(13/11/2018);0;642;0;642;642;0;360;243;603;603
(12/11/2018);0;555;0;555;555;0;293;208;501;501
(09/11/2018);0;284;0;284;284;0;234;62;296;296
(08/11/2018);0;532;0;532;532;0;380;195;575;575
(07/11/2018);0;555;0;555;555;0;358;215;573;573
(06/11/2018);0;620;0;620;620;0;400;205;605;605
(05/11/2018);0;553;2;555;555;0;299;181;480;480
(01/11/2018);0;407;2;409;409;0;344;131;475;475
(31/10/2018);0;563;0;563;563;0;362;208;570;570
(30/10/2018);0;667;0;667;667;0;437;256;693;693
(29/10/2018);0;511;0;511;511;0;293;185;478;478
(26/10/2018);0;241;4;245;245;0;263;63;326;326
(25/10/2018);0;458;183;641;641;0;402;183;585;585
(24/10/2018);0;508;0;508;508;0;382;228;610;610
(23/10/2018);0;766;0;766;766;0;412;272;684;684
(22/10/2018);0;620;0;620;620;0;323;201;524;524
(19/10/2018);0;38;0;38;38;0;49;1;50;50
(18/10/2018);0;143;45;188;188;0;138;48;186;186
(17/10/2018);0;253;2;255;255;0;188;72;260;260
(16/10/2018);0;195;4;199;199;0;165;45;210;210
(15/10/2018);0;172;0;172;172;0;110;28;138;138
(11/10/2018);0;443;3;446;446;0;355;152;507;507
(10/10/2018);0;501;3;504;504;0;387;196;583;583
(09/10/2018);0;707;0;707;707;0;411;270;681;681
(08/10/2018);0;581;0;581;581;0;287;221;508;508
(05/10/2018);0;233;18;251;251;0;216;80;296;296
(04/10/2018);0;607;0;607;607;0;440;210;650;650
(03/10/2018);0;549;14;563;563;0;422;232;654;654
(02/10/2018);0;504;230;734;734;0;432;230;662;662
(01/10/2018);0;531;114;645;645;0;310;212;522;522
(28/09/2018);0;285;0;285;285;0;238;73;311;311
(27/09/2018);0;616;0;616;616;0;432;241;673;673
(26/09/2018);0;663;0;663;663;0;407;252;659;659
(25/09/2018);0;756;1;757;757;0;424;278;702;702
(24/09/2018);0;318;219;537;537;0;316;219;535;535
(21/09/2018);0;307;0;307;307;0;268;66;334;334
(20/09/2018);0;559;2;561;561;0;409;221;630;630
(19/09/2018);0;543;1;544;544;0;393;191;584;584
(18/09/2018);0;549;122;671;671;0;384;248;632;632
(17/09/2018);0;660;0;660;660;0;321;243;564;564
(14/09/2018);0;205;53;258;258;0;247;53;300;300
(13/09/2018);0;630;0;630;630;0;416;252;668;668
(12/09/2018);0;630;2;632;632;0;413;240;653;653
(11/09/2018);0;681;2;683;683;0;432;292;724;724
(10/09/2018);0;670;0;670;670;0;312;233;545;545
(06/09/2018);0;406;110;516;516;0;417;172;589;589
(05/09/2018);0;577;0;577;577;0;402;261;663;663
(04/09/2018);0;381;263;644;644;0;381;263;644;644
(03/09/2018);0;638;0;638;638;0;337;239;576;576
(31/08/2018);0;258;0;258;258;0;288;72;360;360
(30/08/2018);0;772;2;774;774;0;429;246;675;675
(29/08/2018);0;624;4;628;628;0;387;245;632;632
(28/08/2018);0;692;80;772;772;0;495;225;720;720
(27/08/2018);0;705;0;705;705;0;337;267;604;604
(24/08/2018);0;317;0;317;317;0;243;81;324;324
(23/08/2018);0;651;2;653;653;0;485;207;692;692
(22/08/2018);0;671;1;672;672;0;415;264;679;679
(21/08/2018);0;733;2;735;735;0;465;291;756;756
(20/08/2018);0;684;2;686;686;0;358;244;602;602
(17/08/2018);0;296;12;308;308;0;260;74;334;334
(16/08/2018);0;685;0;685;685;0;460;252;712;712
(15/08/2018);0;669;2;671;671;0;436;264;700;700
(14/08/2018);0;714;0;714;714;0;467;292;759;759
(13/08/2018);0;725;1;726;726;0;331;276;607;607
(10/08/2018);0;336;0;336;336;0;261;82;343;343
(09/08/2018);0;667;2;669;669;0;473;230;703;703
(08/08/2018);0;719;0;719;719;0;407;282;689;689
(07/08/2018);0;797;0;797;797;0;476;297;773;773
(06/08/2018);0;734;31;765;765;0;305;221;526;526
(13/07/2018);0;14;0;14;14;0;20;0;20;20
(12/07/2018);0;51;0;51;51;0;40;19;59;59
(11/07/2018);0;89;0;89;89;0;68;34;102;102
(10/07/2018);0;116;0;116;116;0;110;35;145;145
(06/07/2018);0;13;0;13;13;0;18;0;18;18
(05/07/2018);0;220;0;220;220;0;204;65;269;269
(04/07/2018);0;264;5;269;269;0;216;111;327;327
(03/07/2018);0;442;2;444;444;0;363;155;518;518
(02/07/2018);0;129;1;130;130;0;0;133;133;133
(29/06/2018);0;279;5;284;284;0;256;82;338;338
(28/06/2018);0;592;2;594;594;0;412;217;629;629
(27/06/2018);0;76;0;76;76;0;73;0;73;73
(26/06/2018);0;618;0;618;618;0;469;243;712;712
(25/06/2018);0;695;2;697;697;0;391;207;598;598
(22/06/2018);0;41;0;41;41;0;0;44;44;44
(21/06/2018);0;593;5;598;598;0;439;212;651;651
(20/06/2018);0;597;12;609;609;0;442;177;619;619
(19/06/2018);0;632;0;632;632;0;468;224;692;692
(18/06/2018);0;506;129;635;635;0;382;127;509;509
(15/06/2018);0;421;7;428;428;0;353;98;451;451
(14/06/2018);0;625;2;627;627;0;425;242;667;667
(13/06/2018);0;623;43;666;666;0;453;190;643;643
(12/06/2018);0;254;17;271;271;0;247;50;297;297
(11/06/2018);0;340;50;390;390;0;261;46;307;307
(08/06/2018);0;270;93;363;363;0;309;85;394;394
(07/06/2018);0;523;137;660;660;0;496;224;720;720
(06/06/2018);0;665;2;667;667;0;456;214;670;670
(05/06/2018);0;544;138;682;682;0;523;259;782;782
(04/06/2018);0;744;22;766;766;0;426;192;618;618
(24/05/2018);0;52;0;52;52;0;68;0;68;68
(23/05/2018);0;539;83;622;622;0;455;131;586;586
(22/05/2018);0;660;26;686;686;0;507;273;780;780
(21/05/2018);0;798;1;799;799;0;402;221;623;623
(18/05/2018);0;431;0;431;431;0;352;104;456;456
(17/05/2018);0;671;4;675;675;0;464;269;733;733
(16/05/2018);0;691;2;693;693;0;442;197;639;639
(15/05/2018);0;736;5;741;741;0;490;274;764;764
(14/05/2018);0;674;0;674;674;0;413;204;617;617
(11/05/2018);0;364;2;366;366;0;319;83;402;402
(10/05/2018);0;677;0;677;677;0;529;230;759;759
(09/05/2018);0;653;0;653;653;0;453;244;697;697
(08/05/2018);0;729;1;730;730;0;503;260;763;763
(07/05/2018);0;764;0;764;764;0;439;198;637;637
(04/05/2018);0;403;0;403;403;0;344;94;438;438
(03/05/2018);0;677;0;677;677;0;532;249;781;781
(02/05/2018);0;808;0;808;808;0;457;186;643;643
(27/04/2018);0;406;2;408;408;0;335;90;425;425
(26/04/2018);0;707;0;707;707;0;512;250;762;762
(25/04/2018);0;775;0;775;775;0;481;262;743;743
(24/04/2018);0;691;0;691;691;0;533;238;771;771
(23/04/2018);0;832;2;834;834;0;460;222;682;682
(20/04/2018);0;361;2;363;363;0;320;83;403;403
(19/04/2018);0;717;2;719;719;0;526;236;762;762
(18/04/2018);0;728;0;728;728;0;488;232;720;720
(17/04/2018);0;792;2;794;794;0;547;284;831;831
(16/04/2018);0;817;0;817;817;0;448;224;672;672
(13/04/2018);0;418;0;418;418;0;349;91;440;440
(12/04/2018);0;700;3;703;703;0;532;260;792;792
(11/04/2018);0;757;9;766;766;0;491;246;737;737
(10/04/2018);0;754;0;754;754;0;572;277;849;849
(09/04/2018);0;872;0;872;872;0;443;254;697;697
(06/04/2018);0;401;0;401;401;0;398;93;491;491
(05/04/2018);0;689;0;689;689;0;568;262;830;830
(04/04/2018);0;856;0;856;856;0;465;251;716;716
(03/04/2018);0;763;0;763;763;0;551;280;831;831
(02/04/2018);0;869;2;871;871;0;486;233;719;719
(29/03/2018);0;444;0;444;444;0;424;134;558;558
(28/03/2018);0;649;3;652;652;0;398;217;615;615
(27/03/2018);0;725;4;729;729;0;520;266;786;786
(26/03/2018);0;777;1;778;778;0;463;245;708;708
(23/03/2018);0;449;10;459;459;0;389;104;493;493
(22/03/2018);0;750;3;753;753;0;525;294;819;819
(21/03/2018);0;696;5;701;701;0;490;254;744;744
(20/03/2018);0;968;3;971;971;0;553;286;839;839
(16/03/2018);0;406;1;407;407;0;340;81;421;421
(15/03/2018);0;728;0;728;728;0;544;274;818;818
(14/03/2018);0;690;5;695;695;0;500;265;765;765
(13/03/2018);0;837;5;842;842;0;548;309;857;857
(12/03/2018);0;621;105;726;726;0;413;252;665;665
(09/03/2018);0;449;2;451;451;0;378;102;480;480
(08/03/2018);0;729;5;734;734;0;514;261;775;775
(07/03/2018);0;778;4;782;782;0;502;264;766;766
(06/03/2018);0;820;12;832;832;0;502;289;791;791
(05/03/2018);0;582;157;739;739;0;430;156;586;586
(02/03/2018);0;334;21;355;355;0;308;92;400;400
(01/03/2018);0;566;23;589;589;0;461;231;692;692
(28/02/2018);0;715;17;732;732;0;443;233;676;676
(27/02/2018);0;640;13;653;653;0;470;237;707;707
(26/02/2018);0;930;10;940;940;0;446;190;636;636
